orderNo1,orderTotalSDP,mstOrderTotal,orderNo2,orderTotalDiff
1140058352,162.15,162.14,1140058352,-0.01
1140058459,166.64,166.63,1140058459,-0.01
1140058586,115.6,115.59,1140058515,7.11E-15
1140058588,114.54,114.53,1140058586,-0.01
1140058804,183.93,183.92,1140058588,-0.01
1140058963,80.84,74.84,1140058615,-2.84E-14
1140058984,96.82,96.79,1140058804,-0.01
1140059012,38.34,32.34,1140058984,-0.01
1140059049,41.72,41.71,1140058984,-0.01
1140059051,228.93,228.92,1140058984,-0.01
1140059068,172.75,172.74,1140059049,-0.01
1140059232,90.74,84.74,1140059051,-0.01
1140059298,123.64,123.62,1140059068,-0.01
1140059434,322.32,322.31,1140059151,-0.02
1140059518,111.61,111.62,1140059151,-0.02
1140059566,148.87,148.89,1140059298,-0.02
1140059658,117.1,117.11,1140059434,-0.01
1140059841,174.23,174.25,1140059518,0.01
1140059925,151.37,151.36,1140059566,0.01
1140059997,82.09,76.09,1140059566,0.01
1140060001,146.27,146.28,1140059658,0.01
1140060056,155.6,155.61,1140059841,0.01
1140060080,106.72,106.73,1140059841,0.01
1140060116,109.05,109.02,1140059925,-0.01
1140060263,161.23,161.22,1140059925,-0.01
1140060327,272.72,272.71,1140059969,-0.01
1140060375,69.9,69.89,1140060001,0.01
1140060465,109.8,109.79,1140060056,0.01
1140060487,313.49,313.48,1140060080,0.01
1140060497,45.62,39.62,1140060116,-0.01
1140060547,69.93,69.92,1140060116,-0.01
1140060705,215.61,215.58,1140060116,-0.01
1140060719,123.18,123.19,1140060263,-0.01
1140060834,138.13,138.12,1140060327,-0.01
1140060903,109.86,109.88,1140060375,-0.01
1140060971,109.04,109.03,1140060447,-0.01
1140061128,110.63,110.62,1140060465,-0.01
1140061137,108.12,108.11,1140060487,-0.01
1140061212,137.57,137.56,1140060503,-3.55E-15
1140061267,139.52,139.5,1140060547,-0.01
1140061286,203.09,197.09,1140060686,-7.11E-15
1140061375,250,249.99,1140060686,-7.11E-15
1140061406,53.79,53.81,1140060705,-0.01
1140061706,128.17,128.15,1140060705,-0.01
1140061719,89.74,89.73,1140060705,-0.01
1140061736,109.75,109.76,1140060719,0.01
1140061769,39.07,39.08,1140060834,-0.01
1140061984,284.87,284.86,1140060903,0.01
1140062000,109.7,109.68,1140060903,0.01
1140062010,290.82,290.81,1140060971,-0.01
1140062040,58.34,52.34,1140061128,-0.01
1140062058,37.12,37.11,1140061137,-0.01
1140062204,378.36,378.35,1140061212,-0.01
1140068478,110.22,110.23,1140061267,-0.02
1140068503,85.82,85.84,1140061375,-0.01
1140068508,224.86,224.85,1140061406,0.02
1140068524,49.73,49.74,1140061406,0.02
1140068697,115.7,115.69,1140061706,-0.01
1140068817,236.51,236.53,1140061706,-0.01
1140068936,145.49,145.48,1140061719,-0.01
1140069110,199.76,193.76,1140061736,0.03
1140069125,61.37,61.36,1140061736,-0.02
1140069128,308.03,308.01,1140061769,0.01
1140069133,162.66,162.65,1140061773,1.42E-14
1140069228,115.17,115.16,1140061773,1.42E-14
1140069246,122.99,123,1140061984,-0.01
1140069285,133.63,133.62,1140062000,-0.02
1140069427,156.69,156.7,1140062010,-0.01
1140069533,123.14,123.13,1140062058,-0.01
1140069613,80.83,80.85,1140062204,-0.01
1140069670,116.59,116.6,1140068446,-0.01
1140069718,114.99,115,1140068446,-0.01
1140069834,196.82,196.81,1140068478,0.01
1140069889,343.04,337.04,1140068503,0.02
1140069940,150.45,150.44,1140068508,-0.01
1140070054,127.72,127.74,1140068524,0.01
1140070064,227.65,227.66,1140068535,-0.01
1140070310,180.6,180.59,1140068535,0.01
1140070321,109.41,109.42,1140068697,-0.01
1140070367,101.18,101.2,1140068817,0.01
1140070408,51.94,51.93,1140068817,0.01
1140070417,132.72,132.74,1140068936,-0.01
1140070427,230.1,230.09,1140069125,-0.01
1140070443,106.43,106.44,1140069128,-0.01
1140070554,110.14,110.15,1140069128,-0.01
1140070598,135.13,135.12,1140069133,-0.01
1140070722,101.95,101.96,1140069217,-2.84E-14
1140070787,415.39,415.38,1140069228,-0.01
1140070828,203.91,203.88,1140069246,0.01
1140070849,31.56,31.57,1140069246,0.01
1140071160,112.82,112.79,1140069285,-0.01
1140071170,121.57,121.56,1140069427,0.01
1140071190,143.96,143.95,1140069533,-0.01
1140071319,117.36,117.35,1140069613,0.02
1140071391,234.45,234.42,1140069613,0.02
1140071409,628.79,628.78,1140069613,0.02
1140071421,118.19,118.18,1140069670,0.01
1140071445,114.61,108.61,1140069718,0.01
1140071461,110.32,110.33,1140069718,0.01
1140071512,168.25,168.23,1140069738,-0.01
1140071534,47.63,47.66,1140069759,-0.01
1140071610,229.09,229.1,1140069759,-0.01
1140071713,110.8,110.84,1140069759,-0.01
1140071940,128.39,128.43,1140069834,-0.01
1140071973,132.79,132.78,1140069940,-0.01
1140072154,94.94,94.97,1140070031,-1.42E-14
1140072183,450.11,450.13,1140070054,0.01
1140078474,111.38,111.37,1140070054,0.01
1140078566,119.59,119.54,1140070064,0.01
1140078669,60.78,60.79,1140070233,-0.01
1140078673,95.96,95.95,1140070233,-0.01
1140078747,107.63,107.62,1140070233,-0.01
1140078762,224.65,224.64,1140070269,2.84E-14
1140078839,192.2,192.19,1140070310,-0.01
1140078851,233.94,233.95,1140070321,0.01
1140078854,180.17,180.16,1140070367,0.02
1140078896,158.54,158.53,1140070408,-0.01
1140078997,114.62,114.64,1140070417,0.01
1140079078,113.58,113.59,1140070417,0.01
1140079083,180.69,180.68,1140070427,-0.01
1140079240,47.48,47.47,1140070443,0.01
1140079256,480.92,480.88,1140070554,0.01
1140079278,214.22,214.24,1140070598,-0.01
1140079481,164.63,164.62,1140070690,-0.01
1140079512,28.78,28.79,1140070690,-0.01
1140079567,108.35,108.34,1140070690,-0.01
1140079617,199.63,199.62,1140070722,0.01
1140079632,134.75,134.71,1140070787,-0.01
1140079838,172.71,172.7,1140070828,-0.01
1140080006,106.69,106.71,1140070828,-0.01
1140080011,118.01,118,1140070828,-0.01
1140080031,85.33,85.32,1140070849,0.01
1140080114,75.51,75.5,1140070849,0.01
1140080175,148.57,148.58,1140071160,-0.01
1140080187,113.54,113.55,1140071160,-0.01
1140080191,54.72,54.71,1140071160,-0.01
1140080324,130.55,130.56,1140071170,-0.01
1140080469,150.44,150.45,1140071190,-0.01
1140080544,346,345.99,1140071319,-0.01
1140080730,118.02,118,1140071391,-0.01
1140080798,67.5,67.52,1140071391,-0.01
1140080805,153.52,153.51,1140071391,-0.01
1140080903,122.79,122.8,1140071409,-0.01
1140080986,116.06,116.05,1140071421,-0.01
1140081225,608.37,608.35,1140071461,0.01
1140081240,1780.99,1780.84,1140071512,-0.01
1140081336,255.92,255.88,1140071512,-0.01
1140081600,147.23,141.23,1140071534,0.03
1140081700,127.17,127.19,1140071610,0.01
1140081705,213,212.97,1140071610,0.01
1140081715,145.81,145.8,1140071713,0.01
1140081779,593.79,593.78,1140071713,0.01
1140082154,168.66,168.65,1140071713,0.01
1140082179,327.33,327.32,1140071713,0.01
1140082199,117.5,117.48,1140071940,0.03
1140082219,107.85,107.84,1140071940,-0.02
1140087918,126.54,120.54,1140071940,0.03
1140088346,93.29,93.28,1140071973,-0.01
1140088388,494.12,494.1,1140072154,0.01
1140088469,138.7,138.71,1140072154,0.01
1140088704,77.74,77.73,1140072154,0.02
1140088717,172.03,172.01,1140072154,0.02
1140088737,72.72,72.71,1140072183,0.02
1140088840,137.68,137.7,1140078474,-0.01
1140088860,123.23,123.24,1140078566,-0.01
1140088923,1905.82,1905.79,1140078566,-0.02
1140089036,109.72,109.71,1140078566,-0.02
1140089067,274.69,274.7,1140078669,0.01
1140089130,127.25,127.24,1140078673,-0.01
1140089158,172.75,172.74,1140078673,-0.01
1140089320,161.2,161.19,1140078673,-0.01
1140089324,202.22,202.21,1140078673,-0.01
1140089420,43.95,43.97,1140078747,-0.01
1140089492,253.94,253.93,1140078762,-0.01
1140089519,137.16,137.13,1140078839,-0.01
1140089598,155.09,155.08,1140078851,0.01
1140089672,61.42,61.43,1140078854,-0.01
1140089694,921.55,915.55,1140078896,-0.01
1140089773,120.95,120.96,1140078997,0.02
1140089829,112.22,112.23,1140079078,0.01
1140089867,125.92,125.93,1140079083,-0.01
1140089898,69.43,69.45,1140079240,-0.01
1140089913,289,288.99,1140079256,-0.01
1140089914,114.86,108.86,1140079256,-0.01
1140090163,449.71,449.69,1140079256,-0.01
1140090289,143.97,144,1140079256,-0.01
1140090355,115.99,115.98,1140079278,0.01
1140090476,129.71,129.7,1140079278,0.01
1140090530,121.09,121.07,1140079481,-0.01
1140090533,272.18,272.21,1140079512,0.01
1140090645,73.04,73.02,1140079545,-3.55E-15
1140090762,103.98,104,1140079567,-0.01
1140090823,256.42,256.41,1140079617,-0.01
1140090992,45.22,45.24,1140079632,-0.02
1140091068,1267.74,1267.75,1140079632,-0.02
1140091131,341.46,335.46,1140079766,0.01
1140091256,113.34,113.37,1140079766,-0.01
1140091393,100.05,100.08,1140079838,-0.01
1140091403,156.26,156.24,1140079850,-0.01
1140091454,133.09,133.08,1140079850,0.01
1140091539,48.62,48.61,1140079934,-2.84E-14
1140091623,113.47,113.46,1140080006,0.02
1140091678,79.11,79.13,1140080011,-0.01
1140091700,36.35,36.34,1140080031,-0.01
1140091734,290.86,290.85,1140080114,-0.01
1140091824,121.45,121.46,1140080175,0.01
1140091939,155.99,149.99,1140080187,0.01
1140092015,148.01,148,1140080187,0.01
1140092073,109.35,109.34,1140080191,-0.01
1140092175,110.69,110.67,1140080324,0.01
1140098221,159.92,159.9,1140080469,0.01
1140098351,112.27,112.26,1140080526,1.42E-14
1140098693,40.57,40.56,1140080544,-2.84E-14
1140098771,196.69,196.65,1140080544,-0.01
1140098843,57.96,57.97,1140080706,-2.84E-14
1140098947,96.33,96.35,1140080730,-0.02
1140098961,75.4,75.41,1140080798,0.02
1140099165,152.78,152.79,1140080805,-0.01
1140099168,195.42,195.43,1140080903,0.01
1140099179,229.45,229.44,1140080986,-0.01
1140099210,231.43,231.44,1140081148,-7.11E-15
1140099355,153.67,153.66,1140081225,-0.01
1140099409,492.59,492.58,1140081225,-0.01
1140099410,133.91,133.92,1140081240,-0.01
1140099451,166.97,166.98,1140081240,-0.01
1140099568,156.96,156.95,1140081240,-0.01
1140099585,120.82,120.81,1140081240,-0.01
1140099625,226.02,226.01,1140081240,-0.01
1140099656,147.65,147.64,1140081240,-0.01
1140099658,106.83,106.82,1140081240,-0.01
1140099732,437.11,437.07,1140081240,-0.01
1140100022,120.16,120.17,1140081240,-0.01
1140100073,249.47,249.46,1140081240,-0.01
1140100197,449.72,449.71,1140081240,-0.01
1140100219,109.45,109.44,1140081240,-0.02
1140100268,623.05,623.06,1140081240,-0.01
1140100371,273.85,273.84,1140081240,-0.01
1140100418,162.88,162.87,1140081336,-0.02
1140100439,109.32,109.34,1140081336,-0.02
1140100450,499.9,500,1140081700,0.02
1140100464,145.55,145.56,1140081700,0.02
1140100478,199.36,199.35,1140081700,0.02
1140100671,107.83,107.82,1140081700,0.02
1140100693,122.35,122.34,1140081700,0.02
1140100776,134.39,128.39,1140081700,0.02
1140100952,60.04,60.06,1140081705,-0.01
1140100959,410.84,410.85,1140081705,-0.01
1140101027,159.76,159.75,1140081705,-0.01
1140101104,170.51,170.52,1140081705,-0.01
1140101148,128.35,128.36,1140081705,-0.01
1140101440,589.63,589.62,1140081705,-0.01
1140101453,463.92,463.9,1140081705,-0.01
1140101557,102.68,102.67,1140081705,-0.01
1140101575,113.53,113.51,1140081705,-0.01
1140101582,43.84,43.83,1140081715,-0.01
1140101681,100.36,100.37,1140081779,-0.01
1140101693,114.27,114.28,1140082040,-1.78E-15
1140101773,50.79,50.78,1140082154,-0.01
1140101904,217.99,211.99,1140082179,-0.01
1140102137,209.69,209.68,1140082199,-0.01
1140102143,439.46,439.42,1140082199,-0.01
1140102164,101.7,101.69,1140082219,-0.01
1140108031,84.35,84.34,1140082219,-0.01
1140108108,375.59,375.6,1140088346,-0.01
1140108115,118.97,118.96,1140088388,-0.01
1140108272,127.98,127.95,1140088388,-0.01
1140108479,347.53,347.5,1140088469,0.01
1140108483,551.25,551.23,1140088704,-0.01
1140108557,2090.29,2090.27,1140088717,-0.01
1140108590,105.92,105.95,1140088717,-0.01
1140108627,110.99,110.98,1140088737,-0.01
1140108641,224.98,224.96,1140088840,0.01
1140108760,54.16,54.18,1140088840,0.01
1140108826,107.88,107.91,1140088840,0.01
1140108849,45.6,45.61,1140088840,0.01
1140108862,107.06,107.05,1140088860,0.01
1140108866,93.15,93.13,1140088923,-0.01
1140108875,151.25,151.24,1140088923,-0.01
1140108896,134.3,134.28,1140088923,-0.01
1140108982,169.04,169.02,1140089036,-0.01
1140109049,157.66,157.65,1140089067,0.01
1140109077,598.39,598.4,1140089130,-0.01
1140109116,59.59,59.58,1140089158,-0.01
1140109122,135.33,135.32,1140089213,-2.84E-14
1140109252,159.83,159.84,1140089320,-0.01
1140109266,199.8,199.79,1140089324,-0.01
1140109323,46.82,46.83,1140089366,-1.42E-14
1140109488,107.59,107.6,1140089366,-1.42E-14
1140109530,424.01,423.97,1140089420,0.02
1140109672,139.74,133.74,1140089492,-0.01
1140109702,107.44,107.46,1140089519,-0.01
1140109717,64.41,64.42,1140089519,-0.01
1140109807,143.6,143.58,1140089519,-0.01
1140109917,110.56,110.57,1140089598,-0.01
1140110044,322.17,322.16,1140089672,0.01
1140110129,108.01,107.99,1140089773,0.01
1140110270,124.43,124.45,1140089829,0.01
1140110273,178.03,178.02,1140089829,0.01
1140110455,312.42,312.41,1140089867,0.01
1140110557,126.23,126.24,1140089898,0.01
1140110779,410.73,410.74,1140089898,0.01
1140110912,667.71,667.72,1140089913,-0.01
1140111109,79.09,79.08,1140090163,-0.02
1140111191,66.16,66.15,1140090289,0.01
1140111211,109.27,109.29,1140090289,0.02
1140111222,224.12,224.11,1140090355,-0.01
1140111258,273.2,273.18,1140090449,-0.02
1140111390,159.97,159.96,1140090468,-7.11E-15
1140111402,266.33,266.34,1140090476,-0.01
1140111662,301.03,301,1140090530,-0.01
1140111680,118.11,118.1,1140090530,-0.01
1140111696,254.89,248.89,1140090533,0.01
1140111705,63.48,63.49,1140090533,0.01
1140111819,129.2,129.19,1140090533,0.01
1140111833,223.29,223.28,1140090533,0.01
1140111849,240.55,240.52,1140090533,0.01
1140111888,187.1,187.08,1140090533,0.01
1140111900,209.88,209.89,1140090645,-0.02
1140112111,339.92,339.9,1140090762,0.01
1140112126,25.45,25.44,1140090762,0.01
